id,query,intent_json
4075,best mallu film movies 2022,"{""year"": 2022, ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
4076,movies starring irfan khan,"{""actor"": ""Irrfan Khan""}"
4077,best hindi mein historical,"{""language"": ""Hindi"", ""genre"": ""Historical"", ""rating_type"": ""top rated""}"
4078,SonyLIV biopic movies,"{""platform"": ""SonyLIV"", ""genre"": ""Biopic""}"
4079,mohanlal wali article 15,"{""actor"": ""Mohanlal"", ""title"": ""Article 15""}"
4080,top rated Gujarati action,"{""language"": ""Gujarati"", ""genre"": ""Action"", ""rating_type"": ""top rated""}"
4081,is tiger zinda hai available on Amazon Prime,"{""title"": ""Tiger Zinda Hai"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
4082,kangana crime movie,"{""actor"": ""Kangana Ranaut"", ""genre"": ""Crime""}"
4083,gadar 2 good hai ya nahi,"{""title"": ""Gadar 2"", ""rating_type"": ""top rated""}"
4084,is kota factory good,"{""title"": ""Kota Factory"", ""rating_type"": ""top rated""}"
4085,12th fail with greek god,"{""actor"": ""Hrithik Roshan"", ""title"": ""12th Fail""}"
4086,article 15,"{""title"": ""Article 15""}"
4087,salman wali dasara,"{""actor"": ""Salman Khan"", ""title"": ""Dasara""}"
4088,similar to sacred games,"{""similar_to"": ""Sacred Games""}"
4089,ranveer singh new movie ponniyin selvan,"{""actor"": ""Ranveer Singh"", ""title"": ""Ponniyin Selvan"", ""recency"": ""latest""}"
4090,bhool bhulaiyaa with sallu,"{""title"": ""Bhool Bhulaiyaa"", ""actor"": ""Salman Khan""}"
4091,is kantara available on Jio Cinema,"{""title"": ""Kantara"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
4092,arjun reddy wala bangla romance,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Romance"", ""language"": ""Bengali""}"
4093,lalettan ka manjummel boys,"{""actor"": ""Mohanlal"", ""title"": ""Manjummel Boys""}"
4094,bramayugam,"{""title"": ""Bramayugam""}"
4095,deepika wali war,"{""actor"": ""Deepika Padukone"", ""title"": ""War""}"
4096,must watch 2022 films,"{""year"": 2022, ""rating_type"": ""must watch""}"
4097,kannada mystery movies,"{""language"": ""Kannada"", ""genre"": ""Mystery""}"
4098,dulquer comedy movie,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Comedy""}"
4099,darlings full movie,"{""title"": ""Darlings"", ""actor"": ""Prabhas""}"
4100,best of bachchan sahab,"{""actor"": ""Amitabh Bachchan"", ""rating_type"": ""top rated""}"
4101,mard ko dard nahi hota rating,"{""title"": ""Mard Ko Dard Nahi Hota"", ""query_type"": ""rating/review""}"
4102,is ponniyin selvan available on MX Player,"{""title"": ""Ponniyin Selvan"", ""platform"": ""MX Player"", ""query_type"": ""availability""}"
4103,kota factory available hai kya OTT pe,"{""title"": ""Kota Factory"", ""query_type"": ""availability""}"
4104,best of irrfan,"{""actor"": ""Irrfan Khan"", ""rating_type"": ""top rated""}"
4105,watch varisu,"{""title"": ""Varisu""}"
4106,vicky kaushal wali freddy,"{""actor"": ""Vicky Kaushal"", ""title"": ""Freddy""}"
4107,telugu lo sports,"{""language"": ""Telugu"", ""genre"": ""Sports""}"
4108,alia bhatt wali freddy,"{""actor"": ""Alia Bhatt"", ""title"": ""Freddy""}"
4109,prabhas ki best mystery film,"{""actor"": ""Prabhas"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
4110,dq tollywood sci-fi,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Sci-Fi"", ""language"": ""Telugu""}"
4111,varisu OTT release,"{""title"": ""Varisu"", ""query_type"": ""availability""}"
4112,marathi family web series,"{""language"": ""Marathi"", ""genre"": ""Family"", ""content_type"": ""Web Series""}"
4113,is drishyam 2 good,"{""title"": ""Drishyam 2"", ""rating_type"": ""top rated""}"
4114,dangal with superstar rajini,"{""actor"": ""Rajinikanth"", ""title"": ""Dangal""}"
4115,how is vikram vedha,"{""title"": ""Vikram Vedha"", ""query_type"": ""rating/review""}"
4116,aamir historical movie,"{""actor"": ""Aamir Khan"", ""genre"": ""Historical""}"
4117,is fukrey 3 available on Jio Cinema,"{""title"": ""Fukrey 3"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
4118,kareena film beast,"{""actor"": ""Kareena Kapoor"", ""title"": ""Beast""}"
4119,taapsee new movie ludo,"{""actor"": ""Taapsee Pannu"", ""title"": ""Ludo"", ""recency"": ""latest""}"
4120,top bengali sci-fi movies,"{""language"": ""Bengali"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
4121,aspirants review,"{""title"": ""Aspirants"", ""query_type"": ""rating/review""}"
4122,what are good psychological thriller films on YouTube,"{""genre"": ""Psychological thriller"", ""platform"": ""YouTube"", ""rating_type"": ""top rated""}"
4123,movies starring ranveer singh,"{""actor"": ""Ranveer Singh""}"
4124,drishyam OTT release,"{""title"": ""Drishyam"", ""query_type"": ""availability""}"
4125,bahubali movie,"{""title"": ""Bahubali""}"
4126,is drishyam worth watching,"{""title"": ""Drishyam"", ""query_type"": ""rating/review""}"
4127,tiger comedy movie,"{""actor"": ""Tiger Shroff"", ""genre"": ""Comedy""}"
4128,top rated Gujarati supernatural,"{""language"": ""Gujarati"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
4129,kat superhit movies,"{""actor"": ""Katrina Kaif"", ""rating_type"": ""hit""}"
4130,top marathi mystery movies,"{""language"": ""Marathi"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
4131,feel good movie,"{""mood"": ""feel good"", ""rating_type"": ""top rated""}"
4132,fahadh ka 2019 wala,"{""actor"": ""Fahadh Faasil"", ""year"": 2019}"
4133,is hi nanna available on Netflix,"{""title"": ""Hi Nanna"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
4134,duggu film rrr,"{""title"": ""RRR"", ""actor"": ""Hrithik Roshan""}"
4135,punjabi horror,"{""language"": ""Punjabi"", ""genre"": ""Horror""}"
4136,kareena ka 2019 wala,"{""actor"": ""Kareena Kapoor"", ""year"": 2019}"
4137,bangla series,"{""content_type"": ""Web Series"", ""language"": ""Bengali""}"
4138,romantic tollywood film,"{""mood"": ""romantic"", ""language"": ""Telugu""}"
4139,historical movies of irfan khan,"{""actor"": ""Irrfan Khan"", ""genre"": ""Historical""}"
4140,thalaivar mystery 2024,"{""actor"": ""Rajinikanth"", ""genre"": ""Mystery"", ""year"": 2024}"
4141,best historical movies of 2018,"{""genre"": ""Historical"", ""year"": 2018, ""rating_type"": ""top rated""}"
4142,ayushmann wali war,"{""actor"": ""Ayushmann Khurrana"", ""title"": ""War""}"
4143,kushi with mammukka,"{""title"": ""Kushi"", ""actor"": ""mammootty""}"
4144,where to watch skanda,"{""title"": ""Skanda"", ""query_type"": ""availability""}"
4145,bhojpuri sports movies,"{""language"": ""Bhojpuri"", ""genre"": ""Sports""}"
4146,sultan kahan dekhein,"{""title"": ""Sultan"", ""query_type"": ""availability""}"
4147,if you liked drishyam,"{""similar_to"": ""Drishyam""}"
4148,vidya film hi nanna,"{""actor"": ""Vidya Balan"", ""title"": ""Hi Nanna""}"
4149,is manjummel boys available on SonyLIV,"{""title"": ""Manjummel Boys"", ""platform"": ""SonyLIV"", ""query_type"": ""availability""}"
4150,greek god film kota factory,"{""actor"": ""Hrithik Roshan"", ""title"": ""Kota Factory""}"
4151,Disney+ Hotstar show,"{""content_type"": ""Web Series"", ""platform"": ""Disney+ Hotstar""}"
4152,rk movies,"{""actor"": ""Ranbir Kapoor""}"
4153,the family man type movie,"{""similar_to"": ""The Family Man""}"
4154,is ponniyin selvan available on ZEE5,"{""title"": ""Ponniyin Selvan"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
4155,ayushman new movie drishyam 2,"{""title"": ""Drishyam 2"", ""recency"": ""latest"", ""actor"": ""Ayushmann Khurrana""}"
4156,fukrey 3 streaming kahan hai,"{""title"": ""Fukrey 3"", ""query_type"": ""availability""}"
4157,must watch 2019 films,"{""year"": 2019, ""rating_type"": ""must watch""}"
4158,vidya ka 2024 wala,"{""actor"": ""Vidya Balan"", ""year"": 2024}"
4159,dangal with tiger shroff,"{""actor"": ""Tiger Shroff"", ""title"": ""Dangal""}"
4160,khiladi wali dobaaraa,"{""title"": ""Dobaaraa"", ""actor"": ""Akshay Kumar""}"
4161,top b'wood psychological thriller movies,"{""genre"": ""Psychological thriller"", ""rating_type"": ""top rated"", ""language"": ""Hindi""}"
4162,mammukka wali movie,"{""actor"": ""mammootty"", ""rating_type"": ""hit""}"
4163,nawazuddin historical movie,"{""actor"": ""Nawazuddin Siddiqui"", ""genre"": ""Historical""}"
4164,777 charlie jesi film suggest karo,"{""similar_to"": ""777 Charlie""}"
4165,if you liked pathaan,"{""similar_to"": ""Pathaan""}"
4166,badshah jailer movie,"{""title"": ""Jailer"", ""actor"": ""Shah Rukh Khan""}"
4167,srk 2020 movie,"{""actor"": ""Shah Rukh Khan"", ""year"": 2020}"
4168,bengali movies on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""language"": ""Bengali""}"
4169,ranveer singh ka 2018 wala,"{""actor"": ""Ranveer Singh"", ""year"": 2018}"
4170,top mollywood dark comedy movies,"{""language"": ""Malayalam"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
4171,mard ko dard nahi hota review,"{""title"": ""Mard Ko Dard Nahi Hota"", ""query_type"": ""rating/review""}"
4172,12th fail kahan dekhein,"{""title"": ""12th Fail"", ""query_type"": ""availability""}"
4173,deepika ke saare movies,"{""actor"": ""Deepika Padukone""}"
4174,article 15 jaisi movie,"{""similar_to"": ""Article 15""}"
4175,vikram review,"{""title"": ""Vikram"", ""query_type"": ""rating/review""}"
4176,kesari good hai ya nahi,"{""title"": ""Kesari"", ""rating_type"": ""top rated""}"
4177,new mollywood psychological thriller,"{""language"": ""Malayalam"", ""genre"": ""Psychological thriller"", ""recency"": ""latest""}"
4178,dips ki best movie,"{""actor"": ""Deepika Padukone"", ""rating_type"": ""top rated""}"
4179,thunivu available hai kya OTT pe,"{""title"": ""Thunivu"", ""query_type"": ""availability""}"
4180,new bhojpuri biopic,"{""language"": ""Bhojpuri"", ""genre"": ""Biopic"", ""recency"": ""latest""}"
4181,watch andhadhun,"{""title"": ""Andhadhun""}"
4182,aamir leo movie,"{""actor"": ""Aamir Khan"", ""title"": ""Leo""}"
4183,best bengali romance,"{""language"": ""Bengali"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
4184,Netflix telugu,"{""platform"": ""Netflix"", ""language"": ""Telugu""}"
4185,taapsee ki best movie,"{""actor"": ""Taapsee Pannu"", ""rating_type"": ""top rated""}"
4186,movies starring fahadh,"{""actor"": ""Fahadh Faasil""}"
4187,ranveer singh leo movie,"{""actor"": ""Ranveer Singh"", ""title"": ""Leo""}"
4188,if you liked brahmastra,"{""similar_to"": ""Brahmastra""}"
4189,best bollywood dark comedy,"{""language"": ""Hindi"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
4190,sports movies of taapsee,"{""actor"": ""Taapsee Pannu"", ""genre"": ""Sports""}"
4191,family thriller movies 2024,"{""genre"": ""Thriller"", ""year"": 2024, ""audience"": ""family""}"
4192,hindi mein crime,"{""language"": ""Hindi"", ""genre"": ""Crime""}"
4193,aamir khan wali haseen dillruba,"{""actor"": ""Aamir Khan"", ""title"": ""Haseen Dillruba""}"
4194,mammootty punjabi mystery,"{""actor"": ""Mammootty"", ""genre"": ""Mystery"", ""language"": ""Punjabi""}"
4195,irrfan new movie dream girl 2,"{""actor"": ""Irrfan Khan"", ""title"": ""Dream Girl 2"", ""recency"": ""latest""}"
4196,telugu romance,"{""language"": ""Telugu"", ""genre"": ""Romance""}"
4197,varisu good hai ya nahi,"{""title"": ""Varisu"", ""rating_type"": ""top rated""}"
4198,fahad movies,"{""actor"": ""Fahadh Faasil""}"
4199,family dark comedy movies 2023,"{""genre"": ""Dark comedy"", ""year"": 2023, ""audience"": ""family""}"
4200,sandalwood 2020,"{""year"": 2020, ""language"": ""Kannada""}"
4201,vicky kaushal wali kota factory,"{""actor"": ""Vicky Kaushal"", ""title"": ""Kota Factory""}"
4202,new kannada mystery,"{""language"": ""Kannada"", ""genre"": ""Mystery"", ""recency"": ""latest""}"
4203,varisu with irrfan,"{""actor"": ""Irrfan Khan"", ""title"": ""Varisu""}"
4204,vidya balan new film,"{""actor"": ""Vidya Balan"", ""recency"": ""latest""}"
4205,tiger shroff ka bard of blood,"{""actor"": ""Tiger Shroff"", ""title"": ""Bard of Blood""}"
4206,Netflix marathi,"{""platform"": ""Netflix"", ""language"": ""Marathi""}"
4207,top rated Telugu sci-fi,"{""language"": ""Telugu"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
4208,what are good psychological thriller films on Amazon Prime,"{""genre"": ""Psychological thriller"", ""platform"": ""Amazon Prime"", ""rating_type"": ""top rated""}"
4209,what are good drama films on YouTube,"{""genre"": ""Drama"", ""platform"": ""YouTube"", ""rating_type"": ""top rated""}"
4210,rajini ki films,"{""actor"": ""Rajinikanth""}"
4211,bahubali kahan dekhein,"{""title"": ""Bahubali"", ""query_type"": ""availability""}"
4212,katrina sci-fi movie,"{""actor"": ""Katrina Kaif"", ""genre"": ""Sci-Fi""}"
4213,gujarati family web series,"{""language"": ""Gujarati"", ""genre"": ""Family"", ""content_type"": ""Web Series""}"
4214,scam 1992 with dq,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Scam 1992""}"
4215,mirzapur,"{""title"": ""Mirzapur""}"
4216,kangana wali movie,"{""actor"": ""Kangana Ranaut""}"
4217,best of vidya,"{""actor"": ""Vidya Balan"", ""rating_type"": ""top rated""}"
4218,vicky kaushal ki best thriller film,"{""actor"": ""Vicky Kaushal"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
4219,mohanlal film ponniyin selvan,"{""actor"": ""Mohanlal"", ""title"": ""Ponniyin Selvan""}"
4220,sports movies 2021,"{""year"": 2021, ""genre"": ""Sports""}"
4221,kannada thriller movies,"{""language"": ""Kannada"", ""genre"": ""Thriller""}"
4222,hirani ki best movie kaun si hai,"{""director"": ""Rajkumar Hirani"", ""rating_type"": ""top rated""}"
4223,family sports movies 2023,"{""genre"": ""Sports"", ""year"": 2023, ""audience"": ""family""}"
4224,cult 2019 films,"{""year"": 2019, ""rating_type"": ""cult""}"
4225,where to watch kabir singh,"{""title"": ""Kabir Singh"", ""query_type"": ""availability""}"
4226,tamil mein horror movies,"{""language"": ""Tamil"", ""genre"": ""Horror""}"
4227,best hindi mein comedy,"{""language"": ""Hindi"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
4228,if you liked varisu,"{""similar_to"": ""Varisu""}"
4229,srk family movie,"{""actor"": ""Shah Rukh Khan"", ""genre"": ""Family""}"
4230,drama movies of bachchan sahab,"{""actor"": ""Amitabh Bachchan"", ""genre"": ""Drama""}"
4231,an action hero full movie,"{""title"": ""An Action Hero""}"
4232,is dobaaraa available on ZEE5,"{""title"": ""Dobaaraa"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
4233,garuda gamana vrishabha vahana imdb rating,"{""title"": ""Garuda Gamana Vrishabha Vahana"", ""query_type"": ""rating/review""}"
4234,is dobaaraa available on Disney+ Hotstar,"{""title"": ""Dobaaraa"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
4235,alia bhatt wali kgf chapter 2,"{""actor"": ""Alia Bhatt"", ""title"": ""KGF Chapter 2""}"
4236,kartik calling kartik online,"{""title"": ""Kartik Calling Kartik""}"
4237,kangana new movie kota factory,"{""actor"": ""Kangana Ranaut"", ""title"": ""Kota Factory"", ""recency"": ""latest""}"
4238,varisu ke jaise aur koi hai kya,"{""similar_to"": ""Varisu""}"
4239,new punjabi comedy,"{""language"": ""Punjabi"", ""genre"": ""Comedy"", ""recency"": ""latest""}"
4240,tiger zinda hai OTT release,"{""title"": ""Tiger Zinda Hai"", ""query_type"": ""availability""}"
4241,dq ka pagglait,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Pagglait""}"
4242,ss rajamouli 2021 movie,"{""director"": ""SS Rajamouli"", ""year"": 2021}"
4243,good suspenseful movie,"{""mood"": ""suspenseful"", ""rating_type"": ""top rated""}"
4244,best drama movies of 2024,"{""genre"": ""Drama"", ""year"": 2024, ""rating_type"": ""top rated""}"
4245,greek god new movie panchayat,"{""actor"": ""Hrithik Roshan"", ""title"": ""Panchayat"", ""recency"": ""latest""}"
4246,taapsee film sultan,"{""actor"": ""Taapsee Pannu"", ""title"": ""Sultan""}"
4247,roohi film,"{""title"": ""Roohi""}"
4248,top hindi mein family movies,"{""language"": ""Hindi"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
4249,premalu imdb rating,"{""title"": ""Premalu"", ""query_type"": ""rating/review""}"
4250,dips ka mani ratnam film,"{""title"": ""Mani Ratnam film"", ""actor"": ""Deepika Padukone""}"
4251,where to watch gadar 2,"{""title"": ""Gadar 2"", ""query_type"": ""availability""}"
4252,top rated Gujarati family,"{""language"": ""Gujarati"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
4253,t'wood mystery web series,"{""genre"": ""Mystery"", ""content_type"": ""Web Series"", ""language"": ""Telugu""}"
4254,vicky kaushal wali bard of blood,"{""actor"": ""Vicky Kaushal"", ""title"": ""Bard of Blood""}"
4255,top mollywood action movies,"{""language"": ""Malayalam"", ""genre"": ""Action"", ""rating_type"": ""top rated""}"
4256,b'wood sports,"{""genre"": ""Sports"", ""language"": ""Hindi""}"
4257,ranveer singh wali sardar udham,"{""actor"": ""Ranveer Singh"", ""title"": ""Sardar Udham""}"
4258,similar to varisu,"{""similar_to"": ""Varisu""}"
4259,is delhi crime available on Netflix,"{""title"": ""Delhi Crime"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
4260,akki sci-fi movie,"{""genre"": ""Sci-Fi"", ""actor"": ""Akshay Kumar""}"
4261,MX Player drama movies,"{""platform"": ""MX Player"", ""genre"": ""Drama""}"
4262,best tollywood crime,"{""language"": ""Telugu"", ""genre"": ""Crime"", ""rating_type"": ""top rated""}"
4263,bhojpuri action,"{""language"": ""Bhojpuri"", ""genre"": ""Action""}"
4264,light hearted punjabi film,"{""mood"": ""light hearted"", ""language"": ""Punjabi""}"
4265,drishyam 2 film,"{""title"": ""Drishyam 2""}"
4266,kgf chapter 2 review,"{""title"": ""KGF Chapter 2"", ""query_type"": ""rating/review""}"
4267,is hi nanna available on Disney+ Hotstar,"{""title"": ""Hi Nanna"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
4268,piggy chops new movie jawan,"{""title"": ""Jawan"", ""recency"": ""latest"", ""actor"": ""Priyanka Chopra""}"
4269,hindi romance,"{""language"": ""Hindi"", ""genre"": ""Romance""}"
4270,best hindi mein mystery,"{""language"": ""Hindi"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
4271,is aspirants worth watching,"{""title"": ""Aspirants"", ""query_type"": ""rating/review""}"
4272,ranveer singh 2024 movie,"{""actor"": ""Ranveer Singh"", ""year"": 2024}"
4273,watch thunivu,"{""title"": ""Thunivu""}"
4274,Amazon Prime malayalam,"{""platform"": ""Amazon Prime"", ""language"": ""Malayalam""}"
4275,vicky kaushal superhit movies,"{""actor"": ""Vicky Kaushal"", ""rating_type"": ""hit""}"
4276,marathi thriller movies,"{""language"": ""Marathi"", ""genre"": ""Thriller""}"
4277,hindi mystery 2024,"{""language"": ""Hindi"", ""genre"": ""Mystery"", ""year"": 2024}"
4278,vijay deverakonda crime movie,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Crime""}"
4279,dq action movie,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Action""}"
4280,t'wood historical,"{""genre"": ""Historical"", ""language"": ""Telugu""}"
4281,action movies of ayushmann,"{""actor"": ""Ayushmann Khurrana"", ""genre"": ""Action""}"
4282,vijay wali movie,"{""actor"": ""Vijay Deverakonda""}"
4283,akshay film dangal,"{""actor"": ""Akshay Kumar"", ""title"": ""Dangal""}"
4284,sardar udham streaming kahan hai,"{""title"": ""Sardar Udham"", ""query_type"": ""availability""}"
4285,raees with rebel star prabhas,"{""actor"": ""Prabhas"", ""title"": ""Raees""}"
4286,raees ka rating kya hai,"{""title"": ""Raees"", ""query_type"": ""rating/review""}"
4287,is mard ko dard nahi hota available on ZEE5,"{""title"": ""Mard Ko Dard Nahi Hota"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
4288,dq k'wood mystery,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Mystery"", ""language"": ""Tamil""}"
4289,war kahan dekhein,"{""title"": ""War"", ""query_type"": ""availability""}"
4290,vikram available hai kya OTT pe,"{""title"": ""Vikram"", ""query_type"": ""availability""}"
4291,what are good comedy films on YouTube,"{""genre"": ""Comedy"", ""platform"": ""YouTube"", ""rating_type"": ""top rated""}"
4292,punjabi drama film,"{""language"": ""Punjabi"", ""genre"": ""Drama""}"
4293,similar to aadujeevitham,"{""similar_to"": ""Aadujeevitham""}"
4294,rrr full movie,"{""title"": ""RRR""}"
4295,article 15 film,"{""title"": ""Article 15""}"
4296,aadujeevitham streaming kahan hai,"{""title"": ""Aadujeevitham"", ""query_type"": ""availability""}"
4297,is pagglait available on MX Player,"{""title"": ""Pagglait"", ""platform"": ""MX Player"", ""query_type"": ""availability""}"
4298,koi motivational movie suggest karo,"{""mood"": ""motivational""}"
4299,aadujeevitham type movie,"{""similar_to"": ""Aadujeevitham""}"
4300,pc new movie bahubali,"{""actor"": ""Priyanka Chopra"", ""title"": ""Bahubali"", ""recency"": ""latest""}"
4301,malayalam 2022,"{""year"": 2022, ""language"": ""Malayalam""}"
4302,bajrangi bhaijaan imdb rating,"{""title"": ""Bajrangi Bhaijaan"", ""query_type"": ""rating/review""}"
4303,bard of blood movie,"{""title"": ""Bard of Blood""}"
4304,mammootty crime 2019,"{""actor"": ""Mammootty"", ""genre"": ""Crime"", ""year"": 2019}"
4305,mard ko dard nahi hota full movie,"{""title"": ""Mard Ko Dard Nahi Hota""}"
4306,phone bhoot jaisi movie,"{""similar_to"": ""Phone Bhoot""}"
4307,is gehraiyaan worth watching,"{""title"": ""Gehraiyaan"", ""query_type"": ""rating/review""}"
4308,family biopic movies 2021,"{""genre"": ""Biopic"", ""year"": 2021, ""audience"": ""family""}"
4309,mammootty ka pushpa,"{""actor"": ""Mammootty"", ""title"": ""Pushpa""}"
4310,tamil mein drama movies,"{""language"": ""Tamil"", ""genre"": ""Drama""}"
4311,is kota factory worth watching,"{""title"": ""Kota Factory"", ""query_type"": ""rating/review""}"
4312,top bengali family movies,"{""language"": ""Bengali"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
4313,2018 films,"{""year"": 2018}"
4314,dunki rating,"{""title"": ""Dunki"", ""query_type"": ""rating/review""}"
4315,top rated Kannada supernatural,"{""language"": ""Kannada"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
4316,best malayalam family,"{""language"": ""Malayalam"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
4317,is uri worth watching,"{""title"": ""Uri"", ""query_type"": ""rating/review""}"
4318,classic punjabi drama film,"{""language"": ""Punjabi"", ""genre"": ""Drama"", ""rating_type"": ""classic""}"
4319,how is 12th fail,"{""title"": ""12th Fail"", ""query_type"": ""rating/review""}"
4320,dunki,"{""title"": ""Dunki""}"
4321,vicky ka war,"{""actor"": ""Vicky Kaushal"", ""title"": ""War""}"
4322,dobaaraa online,"{""title"": ""Dobaaraa""}"
4323,lokesh kanagaraj all films,"{""director"": ""Lokesh Kanagaraj""}"
4324,ranveer singh 2020 movie,"{""actor"": ""Ranveer Singh"", ""year"": 2020}"
4325,beast OTT release,"{""title"": ""Beast"", ""query_type"": ""availability""}"
4326,mani ratnam movies,"{""director"": ""Mani Ratnam""}"
4327,dq ki best movie,"{""actor"": ""Dulquer Salmaan"", ""rating_type"": ""top rated""}"
4328,is shershaah worth watching,"{""title"": ""Shershaah"", ""query_type"": ""rating/review""}"
4329,similar to the family man,"{""similar_to"": ""The Family Man""}"
4330,mammukka film haseen dillruba,"{""title"": ""Haseen Dillruba"", ""actor"": ""mammootty""}"
4331,bebo new movie thappad,"{""actor"": ""Kareena Kapoor"", ""title"": ""Thappad"", ""recency"": ""latest""}"
4332,mallu film motivational movie,"{""mood"": ""motivational"", ""language"": ""Malayalam""}"
4333,bramayugam full movie,"{""title"": ""Bramayugam""}"
4334,kashyap movies,"{""director"": ""Anurag Kashyap""}"
4335,top rated Punjabi drama,"{""language"": ""Punjabi"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
4336,taapsee horror movie,"{""actor"": ""Taapsee Pannu"", ""genre"": ""Horror""}"
4337,is vikram available on MX Player,"{""title"": ""Vikram"", ""platform"": ""MX Player"", ""query_type"": ""availability""}"
4338,sardar udham jaisi movie,"{""similar_to"": ""Sardar Udham""}"
4339,movies like vikram,"{""similar_to"": ""Vikram""}"
4340,garuda gamana vrishabha vahana review,"{""title"": ""Garuda Gamana Vrishabha Vahana"", ""query_type"": ""rating/review""}"
4341,uri kahan dekhein,"{""title"": ""Uri"", ""query_type"": ""availability""}"
4342,dobaaraa jesi film suggest karo,"{""similar_to"": ""Dobaaraa""}"
4343,top bangla crime movies,"{""language"": ""Bengali"", ""genre"": ""Crime"", ""rating_type"": ""top rated""}"
4344,lalettan ki films,"{""actor"": ""Mohanlal""}"
4345,is leo on SonyLIV,"{""title"": ""Leo"", ""platform"": ""SonyLIV""}"
4346,best punjabi horror,"{""language"": ""Punjabi"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
4347,shershaah,"{""title"": ""Shershaah""}"
4348,phone bhoot online,"{""title"": ""Phone Bhoot""}"
4349,movies starring kat,"{""actor"": ""Katrina Kaif""}"
4350,watch kushi,"{""title"": ""Kushi""}"
4351,ayushman ka 2019 wala,"{""year"": 2019, ""actor"": ""Ayushmann Khurrana""}"
4352,liger,"{""title"": ""Liger""}"
4353,vicky kaushal ka roohi,"{""actor"": ""Vicky Kaushal"", ""title"": ""Roohi""}"
4354,akki wali movie,"{""actor"": ""Akshay Kumar""}"
4355,mr perfectionist new film,"{""actor"": ""Aamir Khan"", ""recency"": ""latest""}"
4356,dark comedy web series,"{""content_type"": ""Web Series"", ""genre"": ""Dark comedy""}"
4357,hi nanna jesi film suggest karo,"{""similar_to"": ""Hi Nanna""}"
4358,is aadujeevitham available on Jio Cinema,"{""title"": ""Aadujeevitham"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
4359,SonyLIV supernatural movies,"{""platform"": ""SonyLIV"", ""genre"": ""Supernatural""}"
4360,watch bhool bhulaiyaa,"{""title"": ""Bhool Bhulaiyaa""}"
4361,top rated Hindi family,"{""language"": ""Hindi"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
4362,tiger zinda hai,"{""title"": ""Tiger Zinda Hai""}"
4363,an action hero jesi film suggest karo,"{""similar_to"": ""An Action Hero""}"
4364,vidya balan action movie,"{""actor"": ""Vidya Balan"", ""genre"": ""Action""}"
4365,best malayalam comedy,"{""language"": ""Malayalam"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
4366,best telugu lo action,"{""language"": ""Telugu"", ""genre"": ""Action"", ""rating_type"": ""top rated""}"
4367,historical movies of nawazuddin,"{""actor"": ""Nawazuddin Siddiqui"", ""genre"": ""Historical""}"
4368,vicky kaushal psychological thriller movie,"{""actor"": ""Vicky Kaushal"", ""genre"": ""Psychological thriller""}"
4369,dream girl 2 OTT release,"{""title"": ""Dream Girl 2"", ""query_type"": ""availability""}"
4370,tiger leo movie,"{""actor"": ""Tiger Shroff"", ""title"": ""Leo""}"
